J1,PO1,PD1,UTC_2021,UTC_1970,ToD,Google_DepTime,car_freeflow_TravelTime_sec,car_InTraffic_TravelTime_sec,car_distance_m,car_mode,car_status,PT_TravelTime_sec,PT_distance_m,PT_mode,PT_status,Walk_TravelTime_sec,Walk_distance_m,Walk_mode,Walk_status,Bicycle_TravelTime_sec,Bicycle_Distance_m,Bicycle_mode,Bicycle_status,gh_car_sec,gh_pt_sec,gh_foot_sec,gh_bike_sec
7260,IV201RS,IV191DT,3/23/21 8:00,1/1/70 0:00,8:00:00 AM,1616486400,473,484,7177,driving,OK,1943,7178,transit,OK,4950,6677,walking,OK,1754,8933,bicycling,OK,525,2170,5037,1964
7261,PA200HH,PA200EA,3/23/21 11:45,1/1/70 0:00,11:45:00 AM,1616499900,146,145,636,driving,OK,218,304,transit,OK,218,304,walking,OK,123,636,bicycling,OK,33,217,217,62
7262,FK27DP,FK14NS,3/23/21 13:00,1/1/70 0:00,1:00:00 PM,1616504400,524,539,3843,driving,OK,1804,4603,transit,OK,2489,3263,walking,OK,773,3376,bicycling,OK,311,2495,2615,770
7263,G15NB,G328EU,3/23/21 19:00,1/1/70 0:00,7:00:00 PM,1616526000,892,864,6017,driving,OK,1728,6021,transit,OK,4357,5774,walking,OK,1210,5768,bicycling,OK,491,1597,4596,1303
7264,FK178HG,FK103JP,3/23/21 9:00,1/1/70 0:00,9:00:00 AM,1616490000,3513,3562,42689,driving,OK,0,0,transit,ZERO_RESULTS,30174,41001,walking,OK,7944,41748,bicycling,OK,3099,10504,31199,9894
7265,FIRTHSCO,FK103BL,3/23/21 11:00,1/1/70 0:00,11:00:00 AM,1616497200,11519,11833,253345,driving,OK,0,0,transit,ZERO_RESULTS,157682,209914,walking,OK,50143,256312,bicycling,OK,,,,
7266,PA28HY,PA28DZ,3/23/21 16:00,1/1/70 0:00,4:00:00 PM,1616515200,215,235,1000,driving,OK,421,574,transit,OK,421,574,walking,OK,102,574,bicycling,OK,87,441,441,163
7268,EH142NR,EH142SL,3/23/21 8:30,1/1/70 0:00,8:30:00 AM,1616488200,171,173,1294,driving,OK,473,1232,transit,OK,872,1123,walking,OK,321,1440,bicycling,OK,103,411,748,245
15137,EH142NR,EH142SL,4/23/21 14:30,1/1/70 0:00,2:30:00 PM,1619191800,204,205,1256,driving,OK,580,1447,transit,OK,814,1044,walking,OK,274,1044,bicycling,OK,103,411,748,245
7269,PA154DA,PA160TB,3/23/21 12:55,1/1/70 0:00,12:55:00 PM,1616504100,349,350,2953,driving,OK,884,3224,transit,OK,2252,2863,walking,OK,744,2953,bicycling,OK,229,914,1977,557
