PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
DD30NY,DD21QQ,7201.2,713.1,74.4,97.4
DD21UG,DD25LU,8633.4,661.1,114.9,24.0
DD13JT,DD25LU,10586.8,864.2,122.9,31.0
DD21UG,DD38BG,5524.0,545.6,117.9,19.9
DD46HP,DD38BG,2966.5,317.0,78.5,19.2
DD21UG,DD12PF,3364.2,438.1,65.8,15.8
DD21UG,DD12PF,3364.2,438.1,65.8,15.8
DD11UE,DD12PF,1985.1,283.3,45.8,8.8
IV519LU,IV519LU,0,0,0,0
IV519LU,IV519LU,0,0,0,0
ML55EA,ML54DQ,356.8,29.5,8.0,0
ML55EA,ML54DQ,356.8,29.5,8.0,0
ML55EA,ML55DD,971.1,150.8,6.3,10.3
EH39DD,EH39NA,393.5,65.1,0.2,0.6
PA238ER,PA238ER,0,0,0,0
EH209QY,EH218PT,12975.6,580.2,31.6,153.8
EH209QY,EH269BG,11899.5,718.3,160.3,119.2
EH209QY,EH221LH,7198.6,463.7,19.3,125.1
EH221AX,EH221LH,725.4,114.6,2.4,18.1
EH74AA,EH221LH,12362.2,1241.3,100.4,99.9
EH209QY,EH209LT,1769.4,254.7,11.9,8.9
EH209LA,EH209LT,217.6,52.2,0.1,0.4
EH209QY,EH178BN,1055.7,122.8,0.7,24.8
EH23AA,EH178BN,8584.5,1056.1,126.9,68.4
ZE10RD,ZE10AN,1659.2,173.7,23.4,30.4
ZE10RD,ZE10PJ,708.2,59.0,2.4,0.9
ZE10RD,ZE10PJ,708.2,59.0,2.4,0.9
ZE10BB,ZE10PJ,2507.0,222.3,35.0,31.0
ZE10DT,ZE10PJ,1627.0,131.0,15.5,25.0
ZE10BD,ZE10PJ,2008.3,171.3,25.8,16.7
ZE10ET,ZE10PJ,1447.2,115.2,21.3,32.2
ZE10FL,ZE10PJ,1912.2,188.3,32.1,23.6
ZE10RG,ZE10PJ,1337.8,126.6,2.6,14.0
ZE10NS,ZE10PJ,881.9,81.3,20.8,14.2
ZE10JL,ZE10PJ,1548.0,138.9,24.8,26.1
ZE29SB,ZE10PJ,8993.3,597.1,196.4,201.4
ZE10RD,ZE39JS,35505.3,2102.6,592.3,575.1
ZE10RD,ZE29BJ,no route found,,,
ZE10RD,ZE29BJ,no route found,,,
ZE10RD,ZE29BJ,no route found,,,
ZE10RD,ZE29BJ,no route found,,,
ZE10RD,ZE29BJ,no route found,,,
ZE29ST,ZE29BJ,no route found,,,
ZE10RD,ZE10PE,1359.8,96.4,15.7,14.8
ZE10SG,ZE10PE,2451.5,205.0,18.8,68.4
ZE29TY,ZE10PE,36159.8,2178.2,575.2,577.3
ZE10RD,ZE10LL,1885.0,149.2,22.1,27.8
ZE10NN,ZE10LL,2820.2,229.9,11.7,61.7
ZE10QS,ZE10LL,1598.5,158.5,13.9,28.7
ZE10PD,ZE10LL,1233.4,93.4,10.5,22.2
ZE10NU,ZE10LL,2976.3,259.9,15.6,75.2
ZE10RD,ZE29LJ,14164.7,934.2,362.8,298.3
ZE29LQ,ZE29LJ,4602.4,319.2,107.5,35.9
ZE29LJ,ZE29LJ,0,0,0,0
ZE29LJ,ZE29LJ,0,0,0,0
ZE29LJ,ZE29LJ,0,0,0,0
ZE29GJ,ZE29LJ,1808.4,151.4,69.5,20.4
ZE10LZ,ZE29LJ,13837.9,950.5,357.8,287.3
ZE29AX,ZE29LJ,no route found,,,
ZE10NS,ZE29LJ,13229.8,883.9,355.7,286.7
ZE10PA,ZE29LJ,13017.4,856.7,347.1,295.5
ZE10RD,ZE10RR,1777.6,159.4,70.9,3.3
ZE10BB,ZE10RR,3840.8,345.3,104.0,33.9
ZE10LZ,ZE10RR,3894.1,339.9,94.8,21.1
ZE10RD,ZE10QH,2845.6,231.8,48.6,21.2
ZE10RD,ZE10TN,7636.0,497.1,202.9,186.2
ZE10UQ,ZE10TN,2547.5,192.2,18.3,47.5
ZE10XJ,ZE10TN,642.3,50.0,11.3,25.1
ZE10UU,ZE10TN,1055.0,101.1,21.5,0.8
ZE10RD,ZE10UB,7967.1,560.5,204.3,190.8
ZE10RD,ZE29JZ,14246.2,942.3,279.8,278.3
ZE10RD,ZE29JE,30081.9,1803.1,532.7,509.4
ZE10RD,ZE10ER,1389.3,111.9,21.2,15.7
ZE10BJ,ZE10ER,896.4,94.3,13.5,7.0
ZE10BJ,ZE10ER,896.4,94.3,13.5,7.0
ZE10GR,ZE10ER,1295.8,148.1,16.8,47.1
ZE10ZJ,ZE10ER,1485.2,133.3,26.2,15.7
ZE10RD,ZE10NL,1607.2,113.4,15.7,21.7
ZE10RD,ZE10QN,840.7,107.0,20.0,1.8
ZE10TB,ZE10QN,273.4,60.6,1.6,1.4
ZE10RD,ZE10NJ,1622.8,128.3,21.5,16.5
ZE10JT,ZE10NJ,75.7,6.8,0,0
ZE10LZ,ZE10NJ,707.0,86.0,12.0,0.8
ZE10RD,ZE10RU,574.4,78.1,1.7,0
ZE10LX,ZE10RU,2497.7,214.7,24.5,17.8
ZE10RD,ZE29JA,25939.5,1587.3,479.1,454.9
ZE39JP,ZE29JA,13515.7,865.1,199.7,172.1
ZE10RD,ZE29HX,25962.6,1564.0,492.4,445.9
ZE10RD,ZE10SG,1091.7,108.7,48.8,0
ZE10PW,ZE10SG,3237.4,263.5,70.0,18.5
ZE10RD,ZE10EW,1752.4,125.5,16.2,21.7
ZE10RD,ZE10EW,1752.4,125.5,16.2,21.7
ZE10TZ,ZE10EW,6684.0,468.3,93.1,162.6
ZE10LJ,ZE10EW,856.4,79.6,4.0,19.5
ZE10LX,ZE10EW,335.2,26.6,0.8,0.9
ZE10RD,ZE29SA,54864.2,3248.5,855.5,843.2
ZE29RH,ZE29SA,9727.7,602.3,189.0,177.8
ZE10RD,ZE10RX,419.6,41.0,0.6,0
ZE10RD,ZE29PS,23804.3,1638.0,339.0,342.3
ZE10RD,ZE10AU,1583.6,180.1,23.4,23.5
ZE10RD,ZE10QS,585.7,90.6,5.4,0
ZE10PR,ZE10QS,2373.1,276.4,26.8,28.6
ZE10LL,ZE10QS,1598.5,158.5,28.3,8.8
ZE10RD,ZE10ET,1019.4,81.1,21.0,7.9
ZE29LD,ZE10ET,17193.8,1285.2,340.0,332.9
ZE10RD,ZE10BB,2192.5,186.5,46.3,43.7
ZE10RR,ZE10BB,3970.2,345.9,49.5,118.9
ZE10BA,ZE10BB,317.6,32.2,0.4,0.4
ZE10BA,ZE10BB,317.6,32.2,0.4,0.4
ZE10RD,ZE10SB,491.6,58.3,1.4,0
ZE10LX,ZE10SB,2414.9,194.8,24.2,17.8
ZE10GR,ZE10SB,1748.6,193.3,2.4,28.8
DD22LD,KY111JU,80883.9,3359.7,623.1,687.1
DD22LD,DD36HH,605.5,77.6,9.5,6.5
EH545ER,EH545ER,0,0,0,0
EH545ER,EH545ER,0,0,0,0
EH545ER,EH545ER,0,0,0,0
EH545ER,EH545ER,0,0,0,0
EH193AD,EH545ER,35587.0,1558.3,308.4,266.7
EH545ER,EH193AD,37829.6,1740.6,277.2,321.0
IV191NZ,IV191NU,503.1,60.8,6.8,1.0
IV191NZ,IV191HA,446.1,105.3,14.0,0
IV191EU,IV191HA,380.9,91.4,0,8.3
IV191EU,IV191HA,380.9,91.4,0,8.3
IV191EU,IV191HA,380.9,91.4,0,8.3
PA237LH,PA238JN,2749.6,282.7,40.3,24.5
PA237LH,PA238JN,2749.6,282.7,40.3,24.5
PA237HA,PA238JN,1401.6,137.9,17.5,7.8
DD54HY,DD52BP,7585.0,577.4,47.0,61.8
KA32JZ,G536AG,26546.6,1388.3,183.6,252.1
G767RL,G536AG,6705.6,704.6,12.9,72.1
G782PE,G536AG,5453.3,537.9,12.8,55.3
G431RR,G536AG,4088.0,402.4,17.5,22.8
G412PE,G536AG,6732.3,616.8,34.6,38.5
G535QU,G536AG,2366.6,255.8,12.8,10.4
G775JW,G536AG,8373.0,697.8,30.3,128.1
G782LH,G536AG,5936.7,614.2,12.5,62.2
