PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
PH152JD,PH152EA,4649.3,553.0,68.4,27.4
EH68EX,EH106JZ,11770.4,1318.0,190.9,63.3
EH165BB,EH22PR,3267.6,529.1,38.2,45.7
PA168BP,PA191SW,4438.2,544.0,83.8,37.9
PA168ET,PA191SW,5373.6,611.6,101.1,57.8
ZE29XH,ZE10QY,6376.5,473.4,184.9,109.3
KY118EP,KY49HW,8936.0,786.3,87.9,34.6
AB535UW,AB538RD,21497.5,1150.6,123.8,147.6
EH114EE,EH549AD,23719.2,1344.1,221.6,119.3
G813AY,G812BY,1845.1,247.2,35.2,8.0
EH329NE,EH329PW,2137.7,317.5,9.3,7.8
EH414NU,EH413DT,1425.6,218.1,3.0,5.2
EH414NU,EH413DT,1425.6,218.1,3.0,5.2
EH414NU,EH414DL,1147.4,183.3,1.8,3.4
AB252ZR,AB116DT,2613.9,315.4,14.4,33.2
EH129JN,ML126DL,50040.5,2543.9,560.1,392.7
ML126UZ,ML126DL,33318.5,1767.9,215.7,406.3
ML126TS,ML126DL,24841.2,1344.4,164.4,222.2
DG88PF,DG86EH,27591.6,1694.9,159.7,208.2
EH88HG,EH52PD,6389.4,929.6,55.2,51.3
AB555EY,AB555BR,365.1,42.8,0,2.9
AB555EY,AB555GT,599.1,60.7,3.6,2.3
AB554FB,AB555GT,18018.4,1277.3,181.1,211.8
AB555EY,AB544XF,14991.4,1199.8,260.9,170.2
AB555EY,AB555EQ,269.1,57.8,2.0,0
G767AG,G775HQ,3541.5,331.0,43.3,35.8
EH193DZ,EH222BP,4842.5,583.4,20.0,66.9
EH76JG,EH222BP,11733.8,1145.7,127.7,91.4
KA152EE,KA152AE,1234.5,164.8,13.1,19.5
AB123RY,AB123QW,2628.9,317.4,9.9,18.9
AB123NG,AB123QW,1247.8,194.2,17.3,6.2
PA26LN,G821BF,19799.3,1134.7,96.9,117.6
PA26LN,PA11XW,776.0,91.3,0.2,12.7
ZE29PX,ZE29PX,0,0,0,0
ZE29PX,ZE29PX,0,0,0,0
TD113LT,TD36JU,20756.7,1129.5,178.3,103.3
KA181QY,KA181PR,688.5,161.6,15.7,5.8
DD115JY,DD112LN,4227.6,408.2,20.1,38.8
G664HR,FK70HQ,34577.4,1575.3,270.1,294.5
ML67GD,G630DY,55013.8,2882.4,458.1,577.8
G838JP,G838LQ,623.0,100.6,0,9.1
G838HS,G838LQ,356.6,35.7,0,3.1
EH147EA,EH147AA,871.9,141.7,10.1,13.3
EH147EA,EH147EH,699.0,112.3,3.7,13.3
KY26NP,KY76GH,11152.2,542.3,59.6,73.4
KY138YY,KY76GH,24580.9,1055.8,175.7,220.8
G696TE,G696TE,0,0,0,0
G696TE,G696TE,0,0,0,0
KA89SS,KA65BZ,5425.8,432.5,65.8,21.5
EH288TE,EH142SW,8203.3,712.6,69.9,24.3
EH113UJ,EH142SW,2642.2,354.4,27.5,5.3
G630HX,FK82NA,37291.9,1947.6,194.9,197.4
IV47HL,IV47HQ,365.6,46.8,3.4,0
IV38ET,IV47HQ,19297.4,1045.2,151.2,139.5
AB379HJ,AB379AS,19463.7,1121.0,101.5,226.9
PA318UZ,PA296TS,22729.7,1320.4,220.9,247.8
PA296UE,PA296TS,1402.0,207.8,9.6,11.7
AB155PS,AB155LT,859.3,154.9,8.3,0.8
G128LY,G128QE,274.8,65.9,12.6,0.8
G116PS,G128QE,1579.8,210.7,45.8,7.4
PA33LX,G822NP,22513.8,1236.4,98.7,109.3
EH11RF,EH177QP,5762.7,778.4,47.7,49.8
FK70AH,FK77PX,2888.6,286.3,10.6,36.2
PH11DD,PH12EP,2493.8,411.2,37.8,35.9
G628HQ,G628LD,2303.3,300.4,33.9,11.0
G628HQ,G628LD,2303.3,300.4,33.9,11.0
G628HQ,G642QT,11972.8,767.5,112.6,128.7
G663PP,G642QT,8174.6,705.2,65.4,49.3
G664EB,G642QT,5023.0,390.4,34.1,19.8
EH105GL,EH43EQ,5861.0,951.8,36.7,100.0
TD57AL,TD106UL,12923.8,778.2,89.6,55.2
G626JW,G626AN,2026.9,288.1,15.5,29.0
EH209QL,EH166RZ,4570.7,357.7,10.6,50.4
G672RX,G680GL,2788.1,365.9,65.6,15.1
G117NL,G117NL,0,0,0,0
EH222JH,EH331HH,13397.1,774.8,161.1,137.6
PH20NZ,PH20DT,1226.5,164.9,5.1,2.4
PH15PH,PH20DT,1672.5,225.7,6.3,5.4
EH142SQ,EH142ER,2895.7,356.7,6.8,25.5
PH152AU,PH152BL,570.7,91.8,11.0,3.2
PH12PE,PH12AQ,1137.4,158.4,20.4,6.2
PH12PE,PH12AQ,1137.4,158.4,20.4,6.2
ZE10LR,ZE10AQ,823.0,83.2,9.6,7.7
PH27BA,DD40SG,39494.4,1925.8,182.9,170.6
DD49NA,DD14BJ,5096.8,558.2,46.2,116.0
EH166YP,EH164SY,3201.8,355.9,40.1,46.6
AB338QL,AB517JP,18812.7,1032.4,123.8,176.2
EH312AN,EH312HP,635.1,130.4,3.0,1.3
KY76GH,KY26SF,9312.3,590.6,57.8,58.5
KY76GH,KY138YY,25020.1,1084.5,221.5,178.0
EH234LR,EH141BY,21634.1,1114.0,166.1,223.6
KY120FA,EH46HZ,24189.8,1632.4,198.3,288.2
DD114AS,DD46RB,27852.4,1661.4,141.3,131.6
EH111LH,EH105EP,405.9,86.8,5.5,1.3
EH111LH,AB345BY,198543.7,8462.1,1890.2,1844.9
FK125BU,FK125EH,787.7,109.0,9.2,0
EH548AH,EH545LT,9808.5,762.9,33.6,99.5
EH548AH,EH545LT,9808.5,762.9,33.6,99.5
EH548AH,EH545LT,9808.5,762.9,33.6,99.5
EH548AH,ML74ED,22717.0,1152.7,143.3,96.0
PH221QD,PH211NT,22138.9,1012.6,183.3,170.2
DG109JY,DG11AG,26854.6,1415.6,223.0,191.3
EH139JB,EH139LY,720.6,82.0,26.3,0.1
G40PL,G21HY,1866.3,261.3,9.1,23.3
G12HL,G14NN,882.9,136.4,4.3,18.5
PA209HT,G14NN,65042.5,7137.3,344.3,389.3
G12HL,G641AZ,8433.6,920.6,108.8,59.9
EH35AH,EH36DY,737.9,156.2,14.5,6.1
EH53QS,EH165DW,6379.2,920.7,104.7,75.7
G49JG,G641FB,7943.2,837.4,84.7,24.9
AB419JD,AB515AD,33787.4,1958.6,303.5,164.6
DD77QX,DD54TP,6193.0,493.7,11.6,9.5
DD53SQ,DD54TP,4767.3,455.3,14.6,46.2
EH120AR,EH120AR,0,0,0,0
EH120AR,EH120AR,0,0,0,0
G720ND,G26HR,22630.3,1184.6,94.9,127.9
IV305UA,IV88NL,67478.8,3606.2,346.5,337.4
PH165ND,FK94RF,85588.3,3419.7,775.3,872.4
FK81ND,FK94RF,5102.6,534.4,20.6,15.3
G760LT,G760LF,1142.3,128.1,9.4,8.2
DG11AA,DG109AX,34491.8,1832.5,312.0,222.5
KW151LS,KW163AW,24905.1,1556.7,170.9,160.5
KW151LS,KW151UL,1930.6,206.9,27.5,18.7
KW151AQ,KW151UL,1760.8,163.7,27.6,4.5
KW151HR,KW151UL,1936.2,236.3,28.7,7.6
KW151GG,KW151UL,1282.2,187.5,20.1,0
G411LA,G58AH,1611.0,203.7,6.1,8.6
G206LF,G208QZ,2129.8,280.6,27.2,27.6
EH128JR,KW163HU,472023.2,26643.5,3936.5,3959.4
EH128JR,KW163HU,472023.2,26643.5,3936.5,3959.4
EH128JR,KW163HU,472023.2,26643.5,3936.5,3959.4
PA49PH,PA49BP,2822.4,425.3,5.7,15.1
KY83LU,KY83HP,389.1,43.8,4.0,0
KY82HJ,KY83HP,400.9,69.3,1.2,1.2
KY63AX,KY83HP,13525.4,861.4,55.9,151.0
EH89LE,EH91HT,1727.7,240.7,14.6,15.4
KA71PG,KA80RY,2843.9,372.6,12.2,7.8
DD21NL,DD25HH,8809.2,598.9,69.7,46.5
G760LJ,G760LJ,0,0,0,0
DG130DX,DG130BE,1604.3,204.8,9.5,3.3
EH218DA,EH375PT,10026.7,604.3,203.6,79.6
ML30QA,ML39NT,4273.6,398.4,44.9,18.2
PA20RR,PA20RR,0,0,0,0
PA20RR,PA20RR,0,0,0,0
IV27JT,IV23EJ,11322.0,796.3,123.9,132.1
G611RG,G131GL,4043.0,559.5,10.7,24.8
G333SQ,G349PE,3673.1,319.9,15.7,22.8
AB119BG,AB156JY,7096.9,728.4,105.9,19.4
AB119BG,AB167DD,5879.6,746.9,106.3,14.3
KA74JP,KA80EU,5403.9,768.3,19.8,16.5
KA55HW,KA80EU,13546.8,1003.9,128.8,160.8
G411QG,G129JE,6466.4,641.0,56.8,34.8
KW151UD,KW151GE,3188.8,319.9,32.3,50.4
KW151FU,KW151GE,3026.8,342.4,39.5,49.8
EH216SS,EH216PQ,570.1,130.9,6.4,2.5
G13HR,G522RZ,8876.4,875.6,67.7,57.1
EH269NL,EH467EE,4259.2,284.3,8.1,66.0
EH178UN,EH107HW,7824.1,738.4,82.3,58.3
G129JE,G411QG,5556.4,638.0,35.8,56.9
G664HW,G664JH,308.3,55.5,0,1.0
AB157PT,AB217DT,12052.3,1141.2,139.8,123.1
G513SE,G21DU,8278.1,753.0,74.1,35.3
G206BS,G21DU,3417.5,402.8,24.9,17.5
G813JE,G21DU,13306.8,1376.8,116.5,128.8
G513SE,G513HQ,1022.9,129.9,1.6,2.3
G116BZ,DD14JY,131810.6,5579.8,893.9,875.4
G116BZ,DD14JY,131810.6,5579.8,893.9,875.4
G116BZ,DD14JY,131810.6,5579.8,893.9,875.4
G116BZ,DD14JY,131810.6,5579.8,893.9,875.4
G116BZ,DD14JY,131810.6,5579.8,893.9,875.4
G116BZ,DD14JY,131810.6,5579.8,893.9,875.4
G630DY,ML67GD,54909.0,2900.4,579.1,461.9
PA167LU,PA167LY,159.0,38.2,5.2,0
G614AN,G614RP,3043.3,294.2,61.2,0.7
G689LB,G614RP,26088.1,1663.3,230.0,199.1
PA200EA,PA200HR,254.3,41.4,0.1,1.0
PA200EA,PA200HR,254.3,41.4,0.1,1.0
G715QX,G716LL,2477.8,235.2,17.2,28.5
AB338AA,AB338DU,8763.9,624.3,106.9,19.2
AB338ES,AB338DU,2336.0,262.7,83.3,0
EH224AA,EH224PB,2126.7,205.9,6.6,46.2
EH224QA,EH224PB,479.1,82.6,0.3,9.1
EH151HF,EH224PB,11838.7,936.9,141.0,52.0
G729RL,G717TW,7234.8,674.7,45.5,71.8
PA86JE,PA86JE,0,0,0,0
PA86JE,PA86JE,0,0,0,0
FK102TL,ML52EU,43216.0,1995.4,317.7,266.8
PH27UN,PH27QQ,847.2,175.8,19.1,7.0
PH27UN,PH149RN,8946.6,626.0,28.4,41.8
EH76EH,EH76DQ,1001.4,178.4,7.6,3.3
DD15EU,DD15EN,282.2,42.0,5.8,0
DD11HG,DD15EN,1504.6,190.4,15.2,5.0
HS20XB,HS12HT,41559.6,2268.6,313.7,342.9
ZE29HW,ZE29HB,5948.8,450.4,118.1,85.3
EH413AP,EH413DS,812.2,116.0,0.3,12.6
TD69PA,TD69LT,7920.1,450.8,106.0,100.2
TD74DR,TD69LT,12095.6,823.4,86.0,163.8
DD54AW,DD53HL,5342.8,546.7,58.1,23.8
EH41DJ,EH41AG,60.6,15.3,0,0
AB315YY,AB315YR,412.1,72.5,0,2.0
PH15BU,PH13BY,1410.8,303.0,1.4,7.3
KA73PR,KA67AE,11969.6,833.6,169.4,64.5
KY118JZ,KY114XH,1783.7,290.3,2.9,15.3
KY114TF,KY114XH,2679.8,362.7,35.5,13.8
EH312HA,EH312EG,1181.2,162.8,7.8,2.3
EH312EQ,EH312EG,827.1,141.0,5.8,0.9
DD96DL,DD96RF,5386.9,638.6,70.1,30.5
AB251DZ,AB243DE,1373.7,214.7,4.4,3.1
ML110NB,ML110FS,1660.0,199.8,0.1,44.1
ML69QF,ML69JB,3121.9,313.1,12.4,14.9
ML69QW,ML69JB,2931.1,267.3,11.7,15.1
ML69LD,ML69JB,892.7,140.2,0,30.9
EH526RT,EH299FX,4577.9,425.4,14.2,47.4
EH299DQ,EH299FX,1324.7,242.2,15.3,6.7
G838DP,G839DL,3797.6,512.3,21.6,33.5
G838DP,G839DL,3797.6,512.3,21.6,33.5
EH395HQ,EH259LH,40371.1,1970.4,318.7,194.2
G838LX,G467BL,45723.2,2945.9,308.9,356.8
G744SE,G744ZA,3426.6,460.4,26.8,29.8
ML69JB,ML69QW,2925.7,267.0,15.1,11.7
ML69JB,ML69LD,892.7,140.2,27.9,0.3
ML69JB,ML69QF,3116.5,312.8,15.1,12.6
AB315SR,AB338TY,34851.0,1683.5,452.8,361.2
AB338GF,AB338TY,683.0,68.4,8.7,2.0
EH478AZ,EH478BH,488.1,76.6,0.3,0.3
ZE10ST,ZE10LB,2009.5,169.8,20.0,63.8
AB326UF,AB238AA,26580.8,1218.9,251.2,347.7
ML37HA,G38TD,24770.6,1418.3,83.2,120.9
KY169NX,KY169BE,600.2,92.3,0.6,1.5
ZE29AX,ZE29BX,7761.4,622.0,132.7,142.5
EH221AX,EH222EG,1627.2,224.3,7.3,13.7
G627JD,G120UX,9093.8,1024.8,75.5,122.1
G328XP,G537EB,16378.3,1129.0,55.6,57.3
AB251JA,AB252LB,1655.9,210.3,19.6,4.2
EH36DY,EH164UU,7656.6,1069.3,104.0,94.4
G522SZ,G728XN,15742.9,1364.7,100.1,63.3
KY74SF,KY74SS,270.2,64.8,0.3,3.6
G333LA,G333NT,350.7,64.9,1.9,2.6
G333LA,G333NT,350.7,64.9,1.9,2.6
G328EU,G329AR,2710.5,317.1,23.4,11.1
G328EU,G15NB,5804.7,561.0,19.7,35.5
ML52AT,ML55RW,3803.6,429.3,24.2,25.9
PA160DU,PA191YB,6787.0,425.5,95.3,55.9
PA168UU,PA154HG,2049.2,359.5,66.7,4.8
G156SA,G156SU,954.1,136.4,2.0,4.0
G156SA,G729NB,28398.7,2128.6,144.7,105.7
TD57NP,TD57HG,1669.8,315.4,2.7,21.6
ML15NF,ML43FB,12078.4,724.0,34.5,147.9
DD100SR,DD100TU,790.6,134.2,13.5,26.6
G811BF,G816DY,4890.4,574.1,75.3,17.0
DD39JP,DD39HS,465.5,105.6,0,9.8
ML41AJ,ML42RG,2561.1,267.7,5.2,18.4
DD37SG,DD39UF,4593.8,422.8,68.1,14.4
KY83PA,KY84HR,3078.6,383.6,12.6,27.7
TD60DE,EH446NA,35920.9,1982.5,330.5,268.8
EH126HZ,EH470RD,33463.4,1729.9,264.1,150.9
EH128RS,EH113XD,2284.7,348.5,9.0,15.6
KY12BB,EH113XD,49030.1,2308.2,317.7,312.0
G744UP,G743XB,2567.1,351.3,14.8,31.1
PA160TY,PA191LG,1905.1,357.2,13.8,38.2
IV316DP,IV301BG,9028.2,598.1,57.9,40.8
G420EB,G444LE,3178.1,355.1,25.3,12.3
G443PR,G743EG,12240.0,1072.0,178.0,50.5
EH74HN,EH53BY,3676.7,580.3,29.1,33.7
FK83EF,EH129SB,67426.0,2787.2,321.5,354.7
EH127LE,EH129SB,3828.7,450.0,15.8,12.9
AB253RF,AB243ET,1476.1,266.7,3.0,14.9
KA128AH,KA29DX,8721.1,626.5,52.8,30.8
KA29HD,KA29DX,450.0,65.7,1.2,1.5
AB418JR,AB418JR,0,0,0,0
AB418JR,AB418JR,0,0,0,0
ML66LX,ML67FD,1720.3,152.3,9.3,10.1
AB389PP,AB416FG,88060.7,4476.6,730.6,823.6
KW151YU,KW151YU,0,0,0,0
KW151YU,KW151YU,0,0,0,0
DD82PP,DD11PW,28243.7,1686.1,263.2,347.7
DD22UB,DD11PX,4123.4,508.6,17.0,126.6
G840PG,G512SN,64758.2,3261.3,582.9,664.8
EH144AP,EH547BB,21944.7,1287.2,169.7,132.2
EH144AP,KY11SU,46017.1,2179.2,369.4,427.4
DG86RN,DG86SY,1914.2,156.6,31.1,2.1
G12LS,G611DN,7894.6,830.0,60.5,48.2
G12LS,G611DN,7894.6,830.0,60.5,48.2
G12LS,G611DN,7894.6,830.0,60.5,48.2
KY58LL,PA49LD,105228.0,4669.2,662.1,750.8
KA136EE,KA137DJ,1078.7,201.5,2.3,7.1
KA136EE,KA257EF,12913.9,963.4,102.8,82.6
PA67HF,PA67NN,3264.7,311.1,14.4,37.3
FK29EE,ML13GY,49636.3,2243.6,371.1,305.2
FK29EE,G211HT,44822.8,2041.9,332.6,285.3
FK29EE,FK29FD,2811.4,343.6,74.1,3.1
FK29RN,FK29FD,1791.8,293.1,29.9,1.6
EH21JX,EH53QS,2695.2,370.2,18.6,53.2
IV363TP,IV363TQ,735.4,63.5,2.4,4.9
G813BG,G813BG,0,0,0,0
G813BG,G813BG,0,0,0,0
EH547BB,EH144AP,23436.9,1417.9,139.0,175.1
KY11SU,EH144AP,47443.3,2206.1,445.0,391.2
AB421LE,AB423AU,6480.0,460.1,55.0,50.1
G848SU,G848XN,824.0,71.3,14.8,1.1
KA215SH,KA239BZ,7692.4,465.9,52.0,23.2
PH12TE,DD21SG,32266.7,1633.4,132.2,119.9
KY74SS,KY61EW,4319.1,469.5,73.6,25.3
G848BZ,PA40SD,40571.7,2114.3,305.2,306.2
ML36AD,ML37NH,2121.2,244.2,43.7,1.1
G328HE,ML37NH,15543.6,783.8,100.8,55.6
ML36AD,ML39UY,4142.8,468.1,106.5,9.7
ML36AD,G717AS,11816.2,620.8,57.8,56.0
ML36AD,ML106EN,13612.4,1041.2,240.6,75.9
ML36AD,ML92AF,8091.2,405.2,100.2,21.2
ML36AD,ML39QR,5500.7,613.4,95.8,19.2
ML36AD,ML110LD,31778.9,1271.9,359.6,140.5
ML36AD,ML36LW,1607.9,205.4,38.7,5.6
ML36AD,ML110EL,26671.0,1160.5,325.2,125.2
PA34TY,PA34HY,1412.7,220.8,13.5,8.3
PA34TY,PA34TY,0,0,0,0
PA34TY,PA34TY,0,0,0,0
PA34HY,PA34TY,1412.7,220.8,11.9,11.9
FK101DQ,FK101DQ,0,0,0,0
FK101DQ,FK101DQ,0,0,0,0
KA114DP,KA120AF,2750.5,352.6,14.0,5.5
KA129EH,KA120AF,2171.0,328.1,7.7,2.0
IV316HL,IV316HP,898.7,172.0,3.8,5.4
KY169BE,KY30DB,63407.1,3321.8,637.7,645.4
AB555AA,AB555JW,924.2,91.6,4.5,8.1
KY157UJ,KY76NE,11067.8,797.8,99.9,57.5
KY157UJ,KY154SX,11940.1,782.6,54.3,79.5
G839GA,G825AT,6309.3,619.9,69.2,33.3
EH421GH,EH421QS,8253.8,399.5,51.1,50.4
FK77GX,FK94BA,5455.7,476.3,18.4,19.4
EH36LX,EH52GU,4113.9,542.6,25.5,25.9
G521SE,G536SN,4565.7,524.7,22.0,19.6
AB252UA,AB106BR,1610.2,230.2,7.9,8.3
KA278AU,KA278BT,1749.2,244.0,6.4,12.2
PH12AQ,PH12PE,1170.3,167.4,0.6,27.3
G767YH,G466ED,4883.0,530.3,14.0,67.1
G466QJ,G466ED,2893.7,382.5,6.9,26.0
IV301PG,IV306GR,2904.2,329.5,15.5,21.8
AB439AN,DD109NA,133455.8,5594.3,1179.6,1166.2
EH127HJ,EH126UG,1977.5,280.4,67.6,0.9
AB554AS,AB554AG,730.0,94.7,18.5,1.1
AB238TP,AB210NT,14292.0,777.1,144.6,109.7
KA92PH,KA91DQ,2959.1,372.4,9.0,9.4
AB252QT,AB253SJ,1351.5,192.3,9.5,10.4
AB217UU,AB219JS,6015.4,523.6,28.2,33.5
IV169YH,IV170UX,8082.3,507.6,24.1,53.5
IV169YH,IV169XU,409.1,73.6,1.0,12.7
IV169YH,IV169XU,409.1,73.6,1.0,12.7
G839PB,G825AR,6648.5,646.9,76.1,52.6
DD24LE,DD36HU,4079.2,452.6,45.6,40.6
FK28RG,FK77SP,13628.0,727.6,66.4,81.3
EH139LU,EH38YF,9117.8,1258.5,59.7,188.0
FK82HF,FK218XA,60656.6,3280.1,537.4,439.5
HS20AU,HS12SJ,2457.3,200.3,4.7,15.1
G428HL,G12JZ,3784.8,507.5,25.5,18.4
KA182AA,KA183HY,5839.9,518.4,123.2,25.1
KA14HL,KA183HY,28165.4,1596.7,373.3,171.2
G311HX,G313PE,1935.4,255.5,17.8,9.3
G413AY,G27JD,5323.1,474.1,33.2,35.0
EH92HW,EH421TF,47550.7,2478.1,454.5,367.3
KA197AX,KA89QH,19323.8,1192.3,112.4,165.0
EH320BQ,EH217DP,11734.0,636.1,72.2,68.7
G661PR,G662HA,518.1,63.4,8.3,8.5
TD26QW,TD26SR,296.0,54.4,2.2,0
G699AS,G699DL,1191.9,194.3,16.1,16.3
G699AS,G699DL,1191.9,194.3,16.1,16.3
KW147BL,KW147LD,2290.1,287.0,49.9,0.9
AB219QR,AB242EU,4529.1,477.6,20.1,37.9
AB219QR,AB217GJ,4230.0,461.5,17.4,33.4
G414PP,G775RR,10648.1,945.9,129.5,37.8
G775TG,G775RR,1549.4,157.4,22.5,8.2
G414PP,PA13AQ,6705.8,695.7,39.5,51.9
AB124AG,AB124AG,0,0,0,0
AB124AG,AB124AG,0,0,0,0
G813QT,G605NA,3263.9,295.9,11.5,16.2
G208QZ,G13DN,5224.8,682.1,38.8,50.7
KA71TP,KA197DR,13590.9,951.9,169.2,93.4
KA89QH,KA197AX,18964.3,1168.9,163.7,106.4
IV23SP,IV362RZ,58477.1,3811.9,540.8,396.0
KA308ER,KA308ES,473.8,79.1,10.1,0
AB416QQ,AB416QJ,1586.9,120.5,30.5,3.9
G38HL,G131EE,6694.4,673.6,49.2,30.6
KY169XL,KY169NX,1923.0,271.2,25.8,5.7
G642NS,G207ER,7073.8,731.5,40.1,72.1
KY75RF,KY75PP,1822.6,214.0,24.5,1.6
KY75RF,KY75HZ,2166.0,280.2,28.4,8.9
DD30PU,DD38BB,5112.3,501.5,40.1,66.4
ML53RT,ML68GQ,6822.2,596.9,129.0,48.0
ML53RT,G663LP,18006.7,1279.2,137.1,169.9
G332EJ,G699JF,8956.4,685.3,75.0,38.0
G332EJ,G524JU,15035.4,1093.7,47.4,87.0
PA34QB,G524JU,3599.8,404.2,16.5,22.6
G332EJ,G25RQ,5670.8,584.4,30.2,37.3
DD83DP,DD82HL,180.6,22.2,0,1.2
DD83DP,DD82HL,180.6,22.2,0,1.2
DD83DP,DD82HL,180.6,22.2,0,1.2
AB124QB,DD82HL,73369.7,2842.0,405.6,407.3
PH28PD,PH11GZ,3351.8,433.5,74.0,12.4
G432TZ,G49RQ,8959.0,878.1,39.0,50.4
G671BF,G672BT,2406.2,254.2,14.9,14.2
AB425HD,AB116UT,48256.7,2464.5,304.9,331.9
AB425HD,AB425HD,0,0,0,0
AB425HD,AB425HD,0,0,0,0
AB116UT,AB425HD,48500.4,2487.1,337.1,308.5
KW96NX,KW96NJ,2765.4,196.7,13.3,4.1
G212EB,G212PA,640.4,69.9,10.9,0.4
G662JT,G661EH,2752.4,402.1,23.2,38.0
G643EJ,G661EH,5645.1,497.0,24.7,39.6
G665PF,G661EH,5168.7,644.6,35.8,45.0
ML54ND,ML30QD,9546.7,857.5,63.5,101.9
DD22TT,DD39LB,4170.6,485.9,86.9,14.3
EH139ES,EH24SD,5594.2,834.5,36.4,80.7
EH105JD,EH24SD,3498.8,532.3,26.1,39.9
EH51RJ,EH24SD,4333.1,618.8,63.6,23.8
PA151UL,PA145RS,6849.6,620.8,124.3,27.9
PA151UL,PA152WN,4344.1,469.6,9.7,16.3
PA151UL,PA191SE,5236.4,528.9,98.2,52.8
PA151UL,PA160TG,3808.6,330.5,69.0,14.0
PA151UL,KA37AD,51702.2,3167.5,581.7,555.0
KA37SL,KA37AD,1861.5,194.5,8.4,21.6
KA37SL,KA37AD,1861.5,194.5,8.4,21.6
KY39RG,KY81BS,18901.4,1653.7,145.6,176.1
PH152JF,PH152EL,7673.0,454.9,205.1,38.4
PH152BS,PH152EL,3484.9,256.0,188.5,0
KY154DD,KY155BX,1389.9,209.7,10.1,4.9
KY154DD,KY155EX,1373.9,205.9,10.1,4.3
EH42TF,EH75PG,7390.8,874.2,22.9,49.8
EH22ER,EH75PG,2818.2,424.0,38.1,71.5
AB245BW,AB252ZD,3286.5,366.3,67.2,3.2
AB217BD,AB252ZD,7817.7,819.7,85.3,64.3
G21EH,KA107JY,51012.9,2768.0,369.1,380.7
DD40XR,DD53JG,5624.8,537.5,20.2,52.4
HS12EU,HS12LH,828.1,125.6,4.2,7.1
PA34DR,PA49AL,4555.4,453.0,10.2,14.8
KW148XD,KW126XZ,24133.4,1224.7,162.4,133.6
DD37QQ,DD36BH,3023.0,349.6,52.8,16.1
PA11QS,PA11PH,552.2,68.6,0,4.5
KA72NQ,G13PW,58632.6,2884.1,424.2,410.0
HS65EX,HS65AT,33602.1,2284.3,190.8,182.4
AB116BH,AB245DN,1961.6,254.1,12.5,20.7
KY26LH,KY11QY,4387.8,477.5,5.7,75.3
EH209AQ,EH193AE,4260.6,409.2,42.1,88.7
EH209AQ,EH209BE,518.2,84.9,3.3,0
EH209RE,EH209BE,898.0,119.1,8.2,0.6
DD96DN,DD96JP,778.5,102.9,19.4,1.2
KA114AF,KA114HD,1020.1,89.2,0.4,11.5
ML38DZ,ML12HF,9002.9,993.3,86.4,123.6
FK78LD,FK82EN,4441.6,456.6,24.2,39.8
G728XN,G522SZ,15835.3,1331.4,53.8,97.4
G830NU,G838LP,2746.1,298.1,6.0,14.3
G847TZ,G838LP,15252.0,978.7,186.5,190.3
G605LJ,G134DE,8392.8,729.5,70.3,74.4
G605LJ,G605LY,426.8,49.9,2.2,1.4
G333SE,G674BP,16886.6,1131.5,134.5,109.0
G663PA,G674BP,10517.6,794.5,121.8,59.2
G536SN,G522QJ,5004.0,556.0,31.1,41.2
KA88BY,KA13PU,21480.2,1069.9,124.0,97.4
KA33AP,KA33DL,1541.6,289.9,16.7,4.9
KA33HQ,KA33DL,1045.5,146.8,0.1,27.0
KA33HQ,KA33DL,1045.5,146.8,0.1,27.0
KA33AP,KA120AZ,13291.4,1051.7,26.5,96.8
KA137HU,KA120AZ,5699.9,498.9,18.1,24.7
FK102HB,EH530AW,47691.7,2606.4,471.0,392.3
FK102HB,FK101ED,2956.7,295.1,9.7,22.0
G129PU,G120JG,2426.8,348.6,24.7,21.3
G522AE,KA152AT,25964.2,1308.9,141.3,93.7
DD111AN,DD111QQ,1135.2,121.7,6.3,3.9
G537NE,G336AG,18345.1,1655.2,147.4,102.7
G444LW,G444LB,1380.7,180.6,5.6,22.5
DG64LH,DG14ZZ,48348.3,2584.3,365.0,318.4
KA203LZ,KA204HD,2893.0,399.2,22.9,6.5
EH260QE,EH165XR,14178.2,1198.9,100.8,193.9
EH260QE,EH165XR,14178.2,1198.9,100.8,193.9
EH260QE,EH165XR,14178.2,1198.9,100.8,193.9
ML67JA,G627RR,35566.5,2065.2,234.2,311.7
DD36NN,DD37AB,832.8,85.0,0,48.5
ZE10UQ,ZE29HF,17695.5,1066.2,300.2,332.3
G40HR,PA67JW,23153.8,1315.6,90.6,100.5
KA244AR,KA245BY,1011.8,139.6,15.7,4.8
FK166BU,FK166AN,2618.0,273.4,28.3,21.1
KW147BQ,KW147LL,1000.9,72.7,20.4,1.9
KW14DX,KW147LL,35008.6,2002.1,165.1,155.7
KW147BQ,KW147EP,1570.4,205.1,37.4,0.2
PA27EA,PA34AB,1736.4,205.3,7.8,17.1
AB327EP,AB326UF,9498.1,601.5,59.5,49.5
AB418XA,AB326UF,51942.6,2315.6,518.9,491.7
G514AH,G512NH,2559.1,291.6,8.1,7.0
G513BD,G512NH,1278.5,191.7,3.6,2.9
G512AJ,G512NH,443.6,87.9,0.5,1.4
KA31NA,KA11PA,3300.6,331.3,6.4,33.9
EH217EE,EH216QX,1064.1,157.4,3.1,2.7
KA215DS,KA215NW,1347.9,147.2,10.7,2.3
