,PO1,PD1,origin_lat,origin_lng,destination_lat,destination_lng
6469,G639BY,G613DF,55.988313,-4.305072,55.931501,-4.31095
6470,G149RN,G613DF,55.874019,-4.331289,55.931501,-4.31095
6471,G614NT,G613DF,55.925224,-4.345376,55.931501,-4.31095
6472,G38BW,G643LP,55.858673,-4.27508,55.918729,-4.221621
6473,G332QJ,G643LP,55.866847,-4.191201,55.918729,-4.221621
6474,G642SA,G643LP,55.918991,-4.2096,55.918729,-4.221621
6475,G38BW,G128SH,55.858673,-4.27508,55.875371,-4.293321
6476,G662UB,G128SH,55.947433,-4.121291,55.875371,-4.293321
6477,G614SQ,G132LF,55.936036,-4.358087,55.900209,-4.341706
6478,G614SQ,G643HD,55.936036,-4.358087,55.916277,-4.233947
6479,G661LH,G643HD,55.938605,-4.171999,55.916277,-4.233947
6480,AB130HD,AB159SN,57.103659,-2.234124,57.117903,-2.175196
6481,AB140NE,AB159SN,57.101542,-2.258433,57.117903,-2.175196
6482,DD84TF,AB159SN,56.681191,-3.010819,57.117903,-2.175196
6483,KY11JT,KY26NY,56.111649,-3.156917,56.127734,-3.197217
6484,KY11JT,KY85PS,56.111649,-3.156917,56.208308,-3.00403
6485,KY11JT,KY127JA,56.111649,-3.156917,56.071587,-3.456524
6486,KY14AH,KY76EZ,56.169119,-3.146327,56.202557,-3.13101
6487,KY50BW,KY76EZ,56.145592,-3.261832,56.202557,-3.13101
6488,KY14AH,KY75NW,56.169119,-3.146327,56.196517,-3.170865
6489,KY74SL,KY75NW,56.178188,-3.15837,56.196517,-3.170865
6490,KY12JP,KY75NW,56.127453,-3.155027,56.196517,-3.170865
6491,KY76GZ,KY75NW,56.185205,-3.130225,56.196517,-3.170865
6492,KY62PG,KY75NW,56.188736,-3.196184,56.196517,-3.170865
6493,KY74UF,KY75NW,56.174594,-3.158391,56.196517,-3.170865
6494,G23JZ,G830QZ,55.866053,-4.265553,55.996218,-4.577905
6495,G23JZ,G830QZ,55.866053,-4.265553,55.996218,-4.577905
6496,G23JZ,G830QZ,55.866053,-4.265553,55.996218,-4.577905
6497,G23JZ,G781LY,55.866053,-4.265553,55.794172,-4.402741
6498,G812RZ,G812JB,55.904246,-4.40273,55.908531,-4.401923
6499,G812RZ,G816BP,55.904246,-4.40273,55.930564,-4.4054
6500,G812RZ,G811HR,55.904246,-4.40273,55.895796,-4.390771
6501,G812RZ,PA145BG,55.904246,-4.40273,55.935545,-4.698947
6502,G812RZ,G813PG,55.904246,-4.40273,55.918642,-4.413081
6503,G812RZ,G813AR,55.904246,-4.40273,55.910381,-4.408886
6504,G812RZ,G605NN,55.904246,-4.40273,55.922067,-4.447499
6505,G537RH,G537GY,55.804747,-4.34098,55.80745,-4.341589
6506,G537RH,G535SR,55.804747,-4.34098,55.831145,-4.355501
6507,G537RH,G537BA,55.804747,-4.34098,55.806223,-4.358497
6508,G537RH,G467EY,55.804747,-4.34098,55.800485,-4.307791
6509,G537RH,G537RL,55.804747,-4.34098,55.808395,-4.346195
6510,G466QB,G537RL,55.796137,-4.297163,55.808395,-4.346195
6511,G537RH,G782TJ,55.804747,-4.34098,55.798841,-4.381743
6512,G782JB,G782TJ,55.793955,-4.386199,55.798841,-4.381743
6513,EH320DQ,EH217EA,55.9714,-2.958757,55.9425,-3.050092
6514,EH216QA,EH217EA,55.94289,-3.063739,55.9425,-3.050092
6515,KW151SX,KW163NJ,58.952617,-2.960319,58.911933,-3.330313
6516,KW172TQ,KW163NJ,58.831652,-2.93433,58.911933,-3.330313
6517,KW172RD,KW163NJ,58.919075,-3.173405,58.911933,-3.330313
6518,PA286DL,PA286SH,55.427559,-5.608349,55.59411,-5.468494
6519,PA286DL,PA296TW,55.427559,-5.608349,55.864283,-5.415209
