"Address",Latitude,Longitude
"FK5 3",56.0195,-3.8212
"FK5 4",56.0277,-3.81996
"FK6 5",56.0165,-3.91837
"FK6 6",56.0267,-3.91122
"FK7 0",56.0973,-3.9293
"FK7 7",56.1041,-3.89811
"FK7 8",56.0806,-3.90102
"FK7 9",56.103,-3.95302
"FK8 1",56.1247,-3.94038
"FK8 2",56.1133,-3.93864
"FK8 3",56.147,-4.22099
"FK9 4",56.1459,-3.94942
"FK9 5",56.135,-3.92873
"G1 1",55.8604,-4.24557
"G1 2",55.8629,-4.25172
"G1 3",55.8613,-4.25249
"G1 4",55.8577,-4.25397
"G1 5",55.8566,-4.24425
"G11 5",55.8732,-4.30452
"G11 6",55.8701,-4.3102
"G11 7",55.8754,-4.31929
"G12 0",55.8856,-4.30819
"G12 8",55.8752,-4.29166
"G12 9",55.8778,-4.305
"G13 1",55.8901,-4.33123
"G13 2",55.8977,-4.33997
"G13 3",55.8918,-4.35438
"G13 4",55.8943,-4.37272
"G14 0",55.8809,-4.35731
"G14 9",55.8794,-4.34352
"G15 6",55.9041,-4.36187
"G15 7",55.9137,-4.36201
"G15 8",55.9128,-4.37786
"G2 1",55.8633,-4.25236
"G2 3",55.8658,-4.25868
"G2 4",55.8647,-4.26204
"G2 5",55.8636,-4.25534
"G2 6",55.8618,-4.25729
"G2 7",55.8617,-4.26202
"G2 8",55.8597,-4.25785
"G20 0",55.8962,-4.29495
"G20 6",55.8784,-4.27677
"G20 7",55.8785,-4.27035
"G20 8",55.8863,-4.28888
"G20 9",55.8885,-4.27793
"G21 1",55.8807,-4.23638
"G21 2",55.8709,-4.22015
"G21 3",55.889,-4.21315
"G21 4",55.8812,-4.2221
"G22 5",55.8821,-4.25441
"G22 6",55.8893,-4.25313
"G22 7",55.8981,-4.25115
"G23 5",55.9022,-4.28526
"G3 6",55.8687,-4.2677
"G3 7",55.8661,-4.27408
"G3 8",55.8643,-4.27514
"G31 1",55.8572,-4.21935
"G31 2",55.8604,-4.22042
"G31 3",55.8624,-4.20992
"G31 4",55.8489,-4.19844
"G31 5",55.8522,-4.19192
"G32 0",55.8543,-4.15193
"G32 6",55.8584,-4.18112
"G32 7",55.8502,-4.17187
"G32 8",55.8381,-4.16803
"G32 9",55.8456,-4.15237
"G33 1",55.8846,-4.18852
"G33 2",55.8667,-4.18922
"G33 3",55.8675,-4.16829
"G33 4",55.8612,-4.13944
"G33 5",55.8742,-4.14922
"G33 6",55.8878,-4.14821
"G34 0",55.8687,-4.10301
"G34 9",55.8673,-4.12036
"G4 0",55.8646,-4.24317
"G4 9",55.8722,-4.26382
"G40 1",55.8483,-4.23021
"G40 2",55.8531,-4.22685
"G40 3",55.8471,-4.21373
"G40 4",55.842,-4.21778
"G41 1",55.8469,-4.27418
"G41 2",55.8383,-4.2729
"G41 3",55.8296,-4.28138
"G41 4",55.8376,-4.28945
"G41 5",55.8443,-4.29177
"G42 0",55.831,-4.24094
"G42 7",55.8389,-4.25827
"G42 8",55.8356,-4.26138
"G42 9",55.827,-4.26302
"G43 1",55.8205,-4.3026
"G43 2",55.8169,-4.28444
"G44 3",55.8085,-4.26914
"G44 4",55.8208,-4.25434
"G44 5",55.8141,-4.24455
"G45 0",55.8054,-4.22311
"G45 9",55.8041,-4.2388
"G46 6",55.8014,-4.29391
"G46 7",55.8038,-4.30785
"G46 8",55.8077,-4.32299
"G5 0",55.8438,-4.24299
"G5 8",55.851,-4.26696
"G5 9",55.8498,-4.2566
"G51 1",55.8533,-4.29284
"G51 2",55.8561,-4.30592
"G51 3",55.8601,-4.31763
"G51 4",55.8596,-4.33365
"G52 1",55.8435,-4.3294
"G52 2",55.8499,-4.35384
"G52 3",55.8435,-4.35135
"G52 4",55.8569,-4.36857
"G53 5",55.8323,-4.34876
"G53 6",55.8179,-4.34957
"G53 7",55.815,-4.35645
"G60 5",55.922,-4.45434
"G61 1",55.9084,-4.3326
"G61 2",55.9155,-4.31776
"G61 3",55.9265,-4.32787
"G61 4",55.9251,-4.34664
"G62 6",55.9379,-4.31277
"G62 7",55.9445,-4.33178
"G62 8",55.9465,-4.31314
"G63 0",56.0679,-4.38791
"G63 9",56.0143,-4.35149
"G64 1",55.9035,-4.20976
"G64 2",55.9081,-4.22309
"G64 3",55.9151,-4.2259
"G64 4",55.9384,-4.21802
"G65 0",55.9776,-4.04566
"G65 9",55.9691,-4.07078
"G66 1",55.9395,-4.15869
"G66 2",55.942,-4.13564
"G66 3",55.9343,-4.13315
"G66 4",55.9266,-4.161
"G66 5",55.9185,-4.14681
"G66 7",55.9743,-4.2035
"G66 8",55.9616,-4.15945
